cgps_lat,cgps_lon,data_provider,gen_basin,ibtracsID,isotime,original_data,pcen,penv,res,rmax,tint,vmax,model,prepcen,ngps_lon,ngps_lat,msize
16.1,-26.9,usa,NA,2017242N16333,2017083000,True,1008,1012.0,0.1,0.0,3.0,30,H08,1008.0,-27.5,16.1,101
16.1,-27.5,usa,NA,2017242N16333,2017083003,True,1007,1012.0,0.1,0.0,3.0,32,H08,1008.0,-28.3,16.2,101
16.2,-28.3,usa,NA,2017242N16333,2017083006,True,1007,1012.0,0.1,0.0,3.0,35,H08,1007.0,-29.0,16.2,101
16.2,-29.0,usa,NA,2017242N16333,2017083009,True,1006,1012.0,0.1,20.0,3.0,40,H08,1007.0,-29.7,16.3,101
16.3,-29.7,usa,NA,2017242N16333,2017083012,True,1006,1012.0,0.1,20.0,3.0,45,H08,1006.0,-30.2,16.3,101
16.3,-30.2,usa,NA,2017242N16333,2017083015,True,1005,1011.0,0.1,17.0,3.0,47,H08,1006.0,-30.8,16.3,101
16.3,-30.8,usa,NA,2017242N16333,2017083018,True,1004,1011.0,0.1,15.0,3.0,50,H08,1005.0,-31.2,16.2,101
16.2,-31.2,usa,NA,2017242N16333,2017083021,True,1001,1011.0,0.1,15.0,3.0,52,H08,1004.0,-31.7,16.3,101
16.3,-31.7,usa,NA,2017242N16333,2017083100,True,999,1012.0,0.1,15.0,3.0,55,H08,1001.0,-32.1,16.3,101
16.3,-32.1,usa,NA,2017242N16333,2017083103,True,996,1012.0,0.1,15.0,3.0,60,H08,999.0,-32.5,16.4,101
16.4,-32.5,usa,NA,2017242N16333,2017083106,True,994,1012.0,0.1,15.0,3.0,65,H08,996.0,-32.9,16.5,101
16.5,-32.9,usa,NA,2017242N16333,2017083109,True,988,1012.0,0.1,12.0,3.0,72,H08,994.0,-33.4,16.7,101
16.7,-33.4,usa,NA,2017242N16333,2017083112,True,983,1012.0,0.1,10.0,3.0,80,H08,988.0,-33.8,16.8,101
16.8,-33.8,usa,NA,2017242N16333,2017083115,True,976,1012.0,0.1,7.0,3.0,87,H08,983.0,-34.2,17.1,101
17.1,-34.2,usa,NA,2017242N16333,2017083118,True,970,1012.0,0.1,5.0,3.0,95,H08,976.0,-34.6,17.2,101
17.2,-34.6,usa,NA,2017242N16333,2017083121,True,968,1012.0,0.1,5.0,3.0,97,H08,970.0,-35.1,17.5,101
17.5,-35.1,usa,NA,2017242N16333,2017090100,True,967,1012.0,0.1,5.0,3.0,100,H08,968.0,-35.5,17.6,101
17.6,-35.5,usa,NA,2017242N16333,2017090103,True,967,1012.0,0.1,5.0,3.0,100,H08,967.0,-36.1,17.9,101
17.9,-36.1,usa,NA,2017242N16333,2017090106,True,967,1012.0,0.1,5.0,3.0,100,H08,967.0,-36.6,18.1,101
18.1,-36.6,usa,NA,2017242N16333,2017090109,True,967,1012.0,0.1,7.0,3.0,100,H08,967.0,-37.3,18.4,101
18.4,-37.3,usa,NA,2017242N16333,2017090112,True,967,1013.0,0.1,10.0,3.0,100,H08,967.0,-37.9,18.6,101
18.6,-37.9,usa,NA,2017242N16333,2017090115,True,967,1013.0,0.1,12.0,3.0,100,H08,967.0,-38.5,18.8,101
18.8,-38.5,usa,NA,2017242N16333,2017090118,True,967,1013.0,0.1,15.0,3.0,100,H08,967.0,-39.0,18.9,101
18.9,-39.0,usa,NA,2017242N16333,2017090121,True,967,1013.0,0.1,15.0,3.0,100,H08,967.0,-39.7,19.1,101
19.1,-39.7,usa,NA,2017242N16333,2017090200,True,967,1013.0,0.1,15.0,3.0,100,H08,967.0,-40.3,19.1,101
19.1,-40.3,usa,NA,2017242N16333,2017090203,True,967,1013.0,0.1,15.0,3.0,100,H08,967.0,-41.1,19.1,101
19.1,-41.1,usa,NA,2017242N16333,2017090206,True,967,1013.0,0.1,15.0,3.0,100,H08,967.0,-41.8,19.0,101
19.0,-41.8,usa,NA,2017242N16333,2017090209,True,970,1013.0,0.1,15.0,3.0,97,H08,967.0,-42.6,18.9,101
18.9,-42.6,usa,NA,2017242N16333,2017090212,True,973,1014.0,0.1,15.0,3.0,95,H08,970.0,-43.3,18.7,101
18.7,-43.3,usa,NA,2017242N16333,2017090215,True,973,1014.0,0.1,15.0,3.0,95,H08,973.0,-44.1,18.7,101
18.7,-44.1,usa,NA,2017242N16333,2017090218,True,973,1014.0,0.1,15.0,3.0,95,H08,973.0,-44.8,18.6,101
18.6,-44.8,usa,NA,2017242N16333,2017090221,True,973,1014.0,0.1,15.0,3.0,95,H08,973.0,-45.5,18.5,101
18.5,-45.5,usa,NA,2017242N16333,2017090300,True,973,1014.0,0.1,15.0,3.0,95,H08,973.0,-46.1,18.3,101
18.3,-46.1,usa,NA,2017242N16333,2017090303,True,973,1013.0,0.1,15.0,3.0,95,H08,973.0,-46.7,18.2,101
18.2,-46.7,usa,NA,2017242N16333,2017090306,True,973,1013.0,0.1,15.0,3.0,95,H08,973.0,-47.2,18.0,101
18.0,-47.2,usa,NA,2017242N16333,2017090309,True,971,1013.0,0.1,15.0,3.0,97,H08,973.0,-47.9,17.9,101
17.9,-47.9,usa,NA,2017242N16333,2017090312,True,969,1013.0,0.1,15.0,3.0,100,H08,971.0,-48.5,17.7,101
17.7,-48.5,usa,NA,2017242N16333,2017090315,True,967,1012.0,0.1,15.0,3.0,100,H08,969.0,-49.2,17.6,101
17.6,-49.2,usa,NA,2017242N16333,2017090318,True,965,1012.0,0.1,15.0,3.0,100,H08,967.0,-49.8,17.4,101
17.4,-49.8,usa,NA,2017242N16333,2017090321,True,962,1012.0,0.1,15.0,3.0,100,H08,965.0,-50.4,17.3,101
17.3,-50.4,usa,NA,2017242N16333,2017090400,True,959,1012.0,0.1,15.0,3.0,100,H08,962.0,-50.9,17.1,101
17.1,-50.9,usa,NA,2017242N16333,2017090403,True,955,1011.0,0.1,15.0,3.0,102,H08,959.0,-51.5,17.0,101
17.0,-51.5,usa,NA,2017242N16333,2017090406,True,952,1011.0,0.1,15.0,3.0,105,H08,955.0,-52.0,16.8,101
16.8,-52.0,usa,NA,2017242N16333,2017090409,True,948,1011.0,0.1,15.0,3.0,107,H08,952.0,-52.6,16.8,101
16.8,-52.6,usa,NA,2017242N16333,2017090412,True,945,1012.0,0.1,15.0,3.0,110,H08,948.0,-53.2,16.7,101
16.7,-53.2,usa,NA,2017242N16333,2017090415,True,944,1011.0,0.1,15.0,3.0,112,H08,945.0,-53.9,16.7,101
16.7,-53.9,usa,NA,2017242N16333,2017090418,True,944,1011.0,0.1,15.0,3.0,115,H08,944.0,-54.5,16.6,101
16.6,-54.5,usa,NA,2017242N16333,2017090421,True,943,1011.0,0.1,15.0,3.0,120,H08,944.0,-55.1,16.6,101
16.6,-55.1,usa,NA,2017242N16333,2017090500,True,943,1011.0,0.1,15.0,3.0,125,H08,943.0,-55.7,16.5,101
16.5,-55.7,usa,NA,2017242N16333,2017090503,True,938,1011.0,0.1,15.0,3.0,130,H08,943.0,-56.4,16.6,101
16.6,-56.4,usa,NA,2017242N16333,2017090506,True,933,1011.0,0.1,15.0,3.0,135,H08,938.0,-57.0,16.6,101
16.6,-57.0,usa,NA,2017242N16333,2017090509,True,931,1010.0,0.1,15.0,3.0,142,H08,933.0,-57.8,16.7,101
16.7,-57.8,usa,NA,2017242N16333,2017090512,True,929,1010.0,0.1,15.0,3.0,150,H08,931.0,-58.5,16.7,101
16.7,-58.5,usa,NA,2017242N16333,2017090515,True,927,1010.0,0.1,15.0,3.0,152,H08,929.0,-59.2,16.9,101
16.9,-59.2,usa,NA,2017242N16333,2017090518,True,926,1010.0,0.1,15.0,3.0,155,H08,927.0,-59.9,17.0,101
17.0,-59.9,usa,NA,2017242N16333,2017090521,True,920,1009.0,0.1,15.0,3.0,155,H08,926.0,-60.6,17.3,101
17.3,-60.6,usa,NA,2017242N16333,2017090600,True,915,1009.0,0.1,15.0,3.0,155,H08,920.0,-61.0,17.5,101
17.5,-61.0,usa,NA,2017242N16333,2017090603,True,914,1009.0,0.1,15.0,3.0,155,H08,915.0,-61.9,17.7,101
17.7,-61.9,usa,NA,2017242N16333,2017090606,True,914,1009.0,0.1,15.0,3.0,155,H08,914.0,-62.6,17.9,101
17.9,-62.6,usa,NA,2017242N16333,2017090609,True,914,1009.0,0.1,15.0,3.0,155,H08,914.0,-63.3,18.1,101
18.1,-63.3,usa,NA,2017242N16333,2017090612,True,915,1009.0,0.1,15.0,3.0,155,H08,914.0,-64.0,18.3,101
18.3,-64.0,usa,NA,2017242N16333,2017090615,True,915,1009.0,0.1,15.0,3.0,155,H08,915.0,-64.7,18.6,101
18.6,-64.7,usa,NA,2017242N16333,2017090618,True,916,1009.0,0.1,15.0,3.0,150,H08,915.0,-65.4,18.8,101
18.8,-65.4,usa,NA,2017242N16333,2017090621,True,916,1009.0,0.1,15.0,3.0,150,H08,916.0,-66.2,19.2,101
19.2,-66.2,usa,NA,2017242N16333,2017090700,True,916,1009.0,0.1,15.0,3.0,150,H08,916.0,-66.9,19.4,101
19.4,-66.9,usa,NA,2017242N16333,2017090703,True,918,1009.0,0.1,15.0,3.0,147,H08,916.0,-67.6,19.7,101
19.7,-67.6,usa,NA,2017242N16333,2017090706,True,920,1009.0,0.1,15.0,3.0,145,H08,918.0,-68.3,19.9,101
19.9,-68.3,usa,NA,2017242N16333,2017090709,True,920,1009.0,0.1,15.0,3.0,145,H08,920.0,-69.0,20.2,101
20.2,-69.0,usa,NA,2017242N16333,2017090712,True,921,1009.0,0.1,15.0,3.0,145,H08,920.0,-69.7,20.4,101
20.4,-69.7,usa,NA,2017242N16333,2017090715,True,921,1009.0,0.1,15.0,3.0,145,H08,921.0,-70.4,20.7,101
20.7,-70.4,usa,NA,2017242N16333,2017090718,True,922,1009.0,0.1,15.0,3.0,145,H08,921.0,-71.0,20.9,101
20.9,-71.0,usa,NA,2017242N16333,2017090721,True,920,1008.0,0.1,15.0,3.0,142,H08,922.0,-71.8,21.1,101
21.1,-71.8,usa,NA,2017242N16333,2017090800,True,919,1008.0,0.1,15.0,3.0,140,H08,920.0,-72.5,21.3,101
21.3,-72.5,usa,NA,2017242N16333,2017090803,True,921,1008.0,0.1,15.0,3.0,137,H08,919.0,-73.2,21.5,101
21.5,-73.2,usa,NA,2017242N16333,2017090806,True,925,1008.0,0.1,30.0,3.0,135,H08,921.0,-73.9,21.6,101
21.6,-73.9,usa,NA,2017242N16333,2017090809,True,926,1008.0,0.1,30.0,3.0,135,H08,925.0,-74.7,21.8,101
21.8,-74.7,usa,NA,2017242N16333,2017090812,True,927,1008.0,0.1,30.0,3.0,135,H08,926.0,-75.3,21.9,101
21.9,-75.3,usa,NA,2017242N16333,2017090815,True,926,1008.0,0.1,30.0,3.0,137,H08,927.0,-76.0,22.0,101
22.0,-76.0,usa,NA,2017242N16333,2017090818,True,925,1008.0,0.1,30.0,3.0,140,H08,926.0,-76.5,22.0,101
22.0,-76.5,usa,NA,2017242N16333,2017090821,True,924,1007.0,0.1,25.0,3.0,142,H08,925.0,-77.2,22.1,101
22.1,-77.2,usa,NA,2017242N16333,2017090900,True,924,1007.0,0.1,20.0,3.0,145,H08,924.0,-77.9,22.3,101
22.3,-77.9,usa,NA,2017242N16333,2017090903,True,924,1007.0,0.1,20.0,3.0,145,H08,924.0,-78.3,22.4,101
22.4,-78.3,usa,NA,2017242N16333,2017090906,True,930,1008.0,0.1,15.0,3.0,130,H08,924.0,-78.7,22.5,101
22.5,-78.7,usa,NA,2017242N16333,2017090909,True,935,1008.0,0.1,15.0,3.0,120,H08,930.0,-79.3,22.7,101
22.7,-79.3,usa,NA,2017242N16333,2017090912,True,941,1008.0,0.1,15.0,3.0,110,H08,935.0,-79.7,22.8,101
22.8,-79.7,usa,NA,2017242N16333,2017090915,True,939,1008.0,0.1,15.0,3.0,102,H08,941.0,-80.2,23.1,101
23.1,-80.2,usa,NA,2017242N16333,2017090918,True,938,1008.0,0.1,15.0,3.0,95,H08,939.0,-80.5,23.2,101
23.2,-80.5,usa,NA,2017242N16333,2017090921,True,935,1007.0,0.1,15.0,3.0,97,H08,938.0,-80.9,23.4,101
23.4,-80.9,usa,NA,2017242N16333,2017091000,True,932,1007.0,0.1,15.0,3.0,100,H08,935.0,-81.1,23.5,101
23.5,-81.1,usa,NA,2017242N16333,2017091003,True,931,1007.0,0.1,12.0,3.0,107,H08,932.0,-81.3,23.7,101
23.7,-81.3,usa,NA,2017242N16333,2017091006,True,930,1007.0,0.1,10.0,3.0,115,H08,931.0,-81.4,24.0,101
24.0,-81.4,usa,NA,2017242N16333,2017091009,True,930,1007.0,0.1,10.0,3.0,115,H08,930.0,-81.5,24.5,101
24.5,-81.5,usa,NA,2017242N16333,2017091012,True,931,1008.0,0.1,10.0,3.0,115,H08,930.0,-81.5,25.0,101
25.0,-81.5,usa,NA,2017242N16333,2017091015,True,932,1008.0,0.1,11.0,3.0,109,H08,931.0,-81.7,25.6,101
25.6,-81.7,usa,NA,2017242N16333,2017091018,True,936,1008.0,0.1,15.0,3.0,100,H08,932.0,-81.6,26.1,101
26.1,-81.6,usa,NA,2017242N16333,2017091021,True,938,1008.0,0.1,15.0,3.0,93,H08,936.0,-81.7,26.8,101
26.8,-81.7,usa,NA,2017242N16333,2017091100,True,942,1008.0,0.1,15.0,3.0,80,H08,938.0,-81.9,27.4,101
27.4,-81.9,usa,NA,2017242N16333,2017091103,True,951,1008.0,0.1,17.0,3.0,72,H08,942.0,-82.2,28.2,101
28.2,-82.2,usa,NA,2017242N16333,2017091106,True,961,1008.0,0.1,20.0,3.0,65,H08,951.0,-82.4,28.9,101
28.9,-82.4,usa,NA,2017242N16333,2017091109,True,965,1008.0,0.1,30.0,3.0,57,H08,961.0,-82.7,29.6,101
29.6,-82.7,usa,NA,2017242N16333,2017091112,True,970,1008.0,0.1,40.0,3.0,50,H08,965.0,-83.0,30.2,101
30.2,-83.0,usa,NA,2017242N16333,2017091115,True,975,1008.0,0.1,50.0,3.0,47,H08,970.0,-83.5,30.9,101
30.9,-83.5,usa,NA,2017242N16333,2017091118,True,980,1008.0,0.1,60.0,3.0,45,H08,975.0,-83.9,31.4,101
31.4,-83.9,usa,NA,2017242N16333,2017091121,True,983,1008.0,0.1,60.0,3.0,40,H08,980.0,-84.4,31.9,101
31.9,-84.4,usa,NA,2017242N16333,2017091200,True,986,1008.0,0.1,60.0,3.0,35,H08,983.0,-84.9,32.4,101
32.4,-84.9,usa,NA,2017242N16333,2017091203,True,991,1008.0,0.1,60.0,3.0,30,H08,986.0,-85.6,32.9,101
32.9,-85.6,usa,NA,2017242N16333,2017091206,True,997,1008.0,0.1,60.0,3.0,25,H08,991.0,-86.2,33.3,101
33.3,-86.2,usa,NA,2017242N16333,2017091209,True,998,1008.0,0.1,60.0,3.0,22,H08,997.0,-86.9,33.8,101
33.8,-86.9,usa,NA,2017242N16333,2017091212,True,1000,1008.0,0.1,60.0,3.0,20,H08,998.0,-87.5,34.3,101
34.3,-87.5,usa,NA,2017242N16333,2017091215,True,1001,1008.0,0.1,60.0,3.0,17,H08,1000.0,-88.1,34.8,101
34.8,-88.1,usa,NA,2017242N16333,2017091218,True,1003,1008.0,0.1,60.0,3.0,15,H08,1001.0,-88.5,35.2,101
35.2,-88.5,usa,NA,2017242N16333,2017091221,True,1003,1008.0,0.1,60.0,3.0,15,H08,1003.0,-88.9,35.6,101
35.6,-88.9,usa,NA,2017242N16333,2017091300,True,1004,1008.0,0.1,60.0,3.0,15,H08,1003.0,-89.2,35.9,101
35.9,-89.2,usa,NA,2017242N16333,2017091303,True,1004,1008.0,0.1,60.0,3.0,15,H08,1004.0,-89.5,36.2,101
36.2,-89.5,usa,NA,2017242N16333,2017091306,True,1004,1008.0,0.1,60.0,3.0,15,H08,1004.0,-89.7,36.4,101
36.4,-89.7,usa,NA,2017242N16333,2017091309,True,1004,1008.0,0.1,60.0,3.0,15,H08,1004.0,-90.1,36.8,101
36.8,-90.1,usa,NA,2017242N16333,2017091312,True,1005,1008.0,0.1,60.0,3.0,15,H08,1004.0,-90.1,36.8,101
